,Test_name,Computed_value,Total_weight,Optimal,Time
0,07-n00050-R01000,12450,4475,YES,0.14736557006835938
1,07-n00100-R01000,24984,9668,NO,150.07369565963745
2,07-n00200-R01000,49824,18448,NO,150.0728943347931
3,07-n00500-R01000,119892,45134,NO,150.0709593296051
4,07-n01000-R01000,244242,91459,NO,150.06845426559448
5,08-n00050-R01000,11356,9872,YES,0.0011088848114013672
6,08-n00100-R01000,23772,20376,YES,14.251066446304321
7,08-n00200-R01000,46536,39888,YES,0.9475774765014648
8,08-n00500-R01000,112728,96624,NO,150.04078888893127
9,08-n01000-R01000,229236,196488,NO,150.03087091445923
10,09-n00050-R01000,23776,9976,NO,150.01531314849854
11,09-n00100-R01000,48352,20252,NO,150.0790274143219
12,09-n00200-R01000,94794,39694,NO,150.02786898612976
13,09-n00500-R01000,230826,96626,NO,150.06703567504883
14,09-n01000-R01000,469228,196428,NO,150.02169275283813
15,10-n00050-R01000,20526,13326,YES,0.0012803077697753906
16,10-n00100-R01000,40268,25368,YES,1.8025922775268555
17,10-n00200-R01000,81948,51348,YES,0.003243684768676758
18,10-n00500-R01000,202020,124920,YES,0.1302475929260254
19,10-n01000-R01000,397594,242394,NO,150.02974367141724
20,11-n00050-R01000,13317,13326,YES,0.04437685012817383
21,11-n00100-R01000,25356,25372,YES,0.011998414993286133
22,11-n00200-R01000,51330,51353,YES,0.04744076728820801
23,11-n00500-R01000,124869,124920,NO,150.03395557403564
24,11-n01000-R01000,242298,242394,NO,150.02029466629028
25,12-n00050-R01000,280811,13327,YES,0.012392997741699219
26,12-n00100-R01000,534609,25372,YES,0.19420194625854492
27,12-n00200-R01000,1082054,51353,YES,0.0010058879852294922
28,12-n00500-R01000,2632201,124921,NO,150.02058601379395
29,12-n01000-R01000,5107487,242395,NO,150.0191035270691
